Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7534706_1	SRR7534706_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	464090.0	0.0	5-301	52.0	83.39760795337867	157.95624124631	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534706_2	SRR7534706_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	464090.0	0.0	5-301	52.0	83.85699849135521	136.8849167187399	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534707_1	SRR7534707_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	443225.0	0.0	5-151	52.0	75.66268073764134	125.68927971120763	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534707_2	SRR7534707_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	443225.0	0.0	5-151	52.0	78.54608438557838	118.58836708218173	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534708_1	SRR7534708_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	360283.0	0.0	5-151	53.0	69.31592944474377	121.43885223560368	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
SRR7534708_2	SRR7534708_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	360283.0	0.0	5-151	53.0	72.45846716839762	114.03267708995429	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534709_1	SRR7534709_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	63128.0	0.0	5-301	51.0	94.37967304524142	226.29162970472692	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534709_2	SRR7534709_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	63128.0	0.0	5-301	51.0	94.85806615131163	167.58417817767076	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534710_1	SRR7534710_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	215821.0	0.0	6-301	52.0	89.20454134659515	181.20588357944777	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534710_2	SRR7534710_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	215821.0	0.0	5-301	52.0	89.87160835892432	149.68832041367614	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
