Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7534703_1	SRR7534703_1.fastq	Conventional base calls	Sanger / Illumina 1.9	239239.0	0.0	35-301	47.0	90.88241963135467	151.4874874079895	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534703_2	SRR7534703_2.fastq	Conventional base calls	Sanger / Illumina 1.9	239239.0	0.0	35-301	47.0	91.24641735911413	154.7531798745188	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534704_1	SRR7534704_1.fastq	Conventional base calls	Sanger / Illumina 1.9	139702.0	0.0	35-301	52.0	90.48765647770315	155.46355098710112	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534704_2	SRR7534704_2.fastq	Conventional base calls	Sanger / Illumina 1.9	139702.0	0.0	35-301	52.0	90.94177720680634	159.23369028360366	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534705_1	SRR7534705_1.fastq	Conventional base calls	Sanger / Illumina 1.9	338216.0	0.0	35-301	52.0	85.67241350327093	144.56331161151454	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534705_2	SRR7534705_2.fastq	Conventional base calls	Sanger / Illumina 1.9	338216.0	0.0	35-301	51.0	85.81528568301084	148.4619947016108	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534706_1	SRR7534706_1.fastq	Conventional base calls	Sanger / Illumina 1.9	470661.0	0.0	35-301	52.0	82.33354616861862	160.5835027758833	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534706_2	SRR7534706_2.fastq	Conventional base calls	Sanger / Illumina 1.9	470661.0	0.0	35-301	52.0	82.76746339869064	165.18938896573118	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534707_1	SRR7534707_1.fastq	Conventional base calls	Sanger / Illumina 1.9	449455.0	0.0	35-151	52.0	74.9544764218484	126.45328230857372	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534707_2	SRR7534707_2.fastq	Conventional base calls	Sanger / Illumina 1.9	449455.0	0.0	35-151	52.0	77.71608634526996	126.58766061118466	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534708_1	SRR7534708_1.fastq	Conventional base calls	Sanger / Illumina 1.9	366719.0	0.0	35-151	53.0	68.37430457853372	121.90599069041964	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR7534708_2	SRR7534708_2.fastq	Conventional base calls	Sanger / Illumina 1.9	366719.0	0.0	35-151	53.0	71.31658458948924	122.17993886327133	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534709_1	SRR7534709_1.fastq	Conventional base calls	Sanger / Illumina 1.9	63875.0	0.0	35-301	51.0	94.11976516634051	236.6106771037182	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534709_2	SRR7534709_2.fastq	Conventional base calls	Sanger / Illumina 1.9	63875.0	0.0	35-301	51.0	94.59882583170256	241.32190998043052	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534710_1	SRR7534710_1.fastq	Conventional base calls	Sanger / Illumina 1.9	218093.0	0.0	35-301	52.0	88.54957525981644	185.8968421728345	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534710_2	SRR7534710_2.fastq	Conventional base calls	Sanger / Illumina 1.9	218093.0	0.0	35-301	52.0	89.18102604293556	190.76809893027286	pass	fail	pass	fail	fail	pass	warn	pass	warn	pass
